RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023
395071,536,"Sayre, PA",msa,PA,136893,138773,138439,133726,134180,126180,132667,126440,133090,129670,134263,133280,130033,124000,127900,131400,130400,134723,134057,137307,128417,132441,135191,125191,128500,120973,129134,115634,116327,126500,141933,144850,133500,131400,132817,133167,124833,128967,137967,140467,144488,141172,150588,146600,151917,158892,162708,157433,142542,143558,140500,146000,133752,143583,145917,156665,152967,148833,147167,155500,160967,165967,157483,172650,178317,179911,173244,174577,175667,165667,159167,170683,177350,159350,149167,152667,175167,180133,178300,180800
753903,538,"Marietta, OH",msa,OH,104633,105133,106833,113167,124000,131833,126500,128167,124333,127333,133667,139667,128833,120500,115783,117200,124867,119583,130750,124750,136083,138417,138417,125083,126300,126467,132100,123133,129600,130633,127133,132167,144167,164167,156133,149633,136667,147700,141700,148417,142917,143750,147000,146167,151083,146583,151167,149417,151083,149167,155300,160633,152967,152333,145702,159002,163035,164333,151033,142500,141833,148500,151500,152667,153417,152917,153250,152800,162800,168300,173000,162000,149833,134833,139500,144863,153596,167179,182650,178917
394591,539,"Fergus Falls, MN",msa,MN,159250,157550,142425,153317,163350,179725,174000,167667,166800,172633,182800,177000,170083,153583,147250,161833,178583,185817,180450,186283,192978,204678,194728,174117,154450,162817,163333,185000,178333,193817,190650,198983,211833,196667,203083,190750,190750,173167,182583,184000,200133,211383,227633,230667,228333,235667,243750,227425,207758,187508,189683,189350,208517,218000,218000,211333,210000,216000,215333,224400,221733,209217,191817,187650,200833,212500,227667,230250,235250,230750,217917,192750,187917,189000,190833,196500,202333,237333,256500,288917
394618,541,"Fremont, OH",msa,OH,92817,96483,83617,81967,85850,90133,94133,91094,93328,100594,101417,105233,109050,113550,111250,103750,103417,102250,106333,106167,108667,113667,114000,115333,114217,104550,101633,94500,100467,111717,107550,107917,104000,116250,120250,118167,117500,107967,99833,102500,113267,123883,125883,126733,128917,126900,127983,125983,125000,120167,115167,111383,112417,120750,132617,143750,149083,146667,141833,140567,136400,133233,126833,130167,133500,135833,138817,140983,142533,146217,148550,144083,142933,142600,145517,145000,144093,154093,160760,159833
394939,542,"Oneonta, NY",msa,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184167,176883,145883,158550,174445,187612,172762,152967,140633,138742,151250,162427,166502,167827,173900,182567,191250,201667,206667,204933,190767,189767,183833,191333,189900,189600,203767,197533,207167,177417,187583,173250,180500,167000,179250,182917,185833,189583
394336,546,"Ardmore, OK",msa,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166333,172333,168983,167317,163650,183667,184500,183167,186833,186833,195833,190467,181300,166467,163500,173333,174333,180333,181833,198500,195000,208333,197917,188417,166583,169500,179583,180917,169250,167500,185000,196667,205250
394456,549,"Charleston, IL",msa,IL,81000,79000,79083,82917,90083,96250,95167,88000,83500,82833,78667,73000,68333,67333,68833,76667,84667,93833,92417,93333,95000,92250,94333,84500,87583,81000,89167,88750,93500,96833,100167,103500,109500,110500,108667,94333,97167,92500,90500,84000,97000,103167,108833,105333,115167,113917,108583,101167,102417,111917,107833,112167,109750,115583,114583,113333,111333,109333,109667,105833,104833,94500,95333,98333,101417,114583,117083,126417,121083,121083,113500,111333,107000,105333,108167,115000,125333,122667,122500,124083
394592,550,"Fernley, NV",msa,NV,212317,206817,204167,207667,214333,219333,224133,231467,233133,233133,233673,238673,242040,239000,242333,245667,256083,259417,264250,261667,260667,259750,261250,261917,262208,262875,262875,262667,265300,270633,279633,281250,281583,280250,275300,275633,281300,290754,291288,280604,278183,277650,282667,287300,294967,306033,309383,312300,311591,320495,325912,330554,336492,345658,357325,364705,369872,368838,368867,369200,375233,377000,384000,387667,401833,408167,415100,403567,396400,381967,392667,385467,387633,374467,375800,372550,366117,383233,388150,392583
394444,551,"Carson City, NV",msa,NV,246450,249617,258783,262150,268150,271000,271167,275500,273167,276750,274167,272833,280750,286333,294000,299000,296333,307000,306667,314667,306333,303333,301667,311667,316917,316083,316500,326250,337083,340817,339150,331633,328133,321383,324733,324083,327167,330333,337000,333633,337950,329617,339950,339967,361633,371667,371667,365000,364500,378667,377833,382417,387250,398167,409917,420265,428515,437681,436863,444363,440196,455000,463167,469833,464833,460000,459150,448633,451800,439983,445500,420147,436980,421980,433333,429167,428500,440167,441000,442500
394432,553,"Calhoun, GA",msa,GA,123333,117967,122300,124533,124887,126553,128653,124000,119250,120154,126487,129220,128983,130317,131167,134667,132217,135017,134517,138677,137043,143043,141633,141783,139283,140983,145000,151144,153977,158144,157833,160000,154667,151333,151150,158150,159817,150000,142900,147148,159230,168997,174582,175750,174733,172733,176050,180900,178400,180167,180100,184767,188417,196650,214983,218000,216667,201667,200833,201167,201733,205900,216983,231417,236400,231650,227633,235983,237317,243000,237583,232567,222567,218650,225667,233667,244667,252167,260833,261217
753877,554,"Cullowhee, NC",msa,NC,224150,221817,215150,213500,174167,179667,188500,195167,211333,234500,246167,240000,241333,222833,237333,218167,239333,225833,240833,249750,260750,274083,294167,288000,262000,214167,200500,199000,217917,225250,229417,236250,252250,256083,280333,281000,288833,263000,242667,230000,222833,248083,272083,322583,354333,384833,352667,338667,315167,317000,305833,313333,320500,335667,334833,342167,332167,333833,331667,330667,328167,324833,347500,357958,366792,373458,363167,374392,362725,388058,388083,381417,376750,370000,358833,323000,351333,357500,366667,373000
394737,555,"Kearney, NE",msa,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257574
394940,557,"Ontario, OR",msa,OR,136833,121833,120167,127667,140983,139650,137983,131800,137450,143100,152633,147983,150825,147825,155491,153767,153433,155467,162033,168700,169000,171483,174004,177004,164238,162383,171717,185083,191050,185617,188200,191233,189167,193000,190667,196372,186455,196755,212215,230132,225832,214333,211133,216133,232633,259665,267998,261998,243333,244333,252667,250500,258833,269333,291500,285500,283333,285333,290333,293667,288000,302000,312167,325500,328167,321333,313333,304967,308633,300267,279300,258967,259000,263333,286333,289633,298800,290800,302500,318833
